"Famyli"	"Fitogeography_origin"	"Genus_and_species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"101"	"Fabaceae"	"Trop"	"Machaerium sp."	0,888278710100355	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA
"102"	"Fabaceae"	"Trop"	"Machaerium stipitatum"	7,33000719391242	5,22084063538077	NA	NA	NA	NA	69	17	NA	NA	NA	NA
"103"	"Fabaceae"	"Trop"	"Machaerium villosum"	NA	NA	NA	NA	0,153514741301534	NA	NA	NA	NA	NA	2	NA
"104"	"Fabaceae"	"Trop"	"Mimosa scabrella"	NA	NA	1,52597456237738	NA	NA	0,766585281082156	NA	NA	2	NA	NA	16
"105"	"Fabaceae"	"Trop"	"Ormosia sp."	NA	NA	NA	NA	0,0350028713297361	NA	NA	NA	NA	NA	1	NA
"106"	"Fabaceae"	"Trop"	"Parapiptadenia rigida"	NA	30,0401307422488	NA	NA	NA	NA	NA	29	NA	NA	NA	NA
"107"	"Fabaceae"	"Trop"	"Piptadenia gonoacantha"	2,37336619372695	3,33809782375413	NA	NA	NA	NA	7	6	NA	NA	NA	NA
"108"	"Fabaceae"	"Trop"	"Poecilanthe parviflora"	3,67214949280817	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
"109"	"Fabaceae"	"Trop"	"Senna macranthera"	NA	NA	NA	NA	0,00699718563810674	NA	NA	NA	NA	NA	1	NA
"110"	"Fabaceae"	"Trop"	"Senna multijuga"	0,058114254943691	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA
"111"	"Fabaceae"	"Trop"	"Swartzia acutifolia"	8,49910424223849	NA	NA	NA	NA	NA	118	NA	NA	NA	NA	NA
"112"	"Lamiaceae"	"Trop"	"Aegiphila integrifolia"	NA	NA	0,145890352320127	NA	NA	NA	NA	NA	1	NA	NA	NA
"113"	"Lamiaceae"	"Trop"	"Vitex polygama"	0,467580135893809	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA
"114"	"Lauraceae"	"Trop"	"Aiouea glaziovii"	NA	NA	NA	0,00592768906487873	NA	NA	NA	NA	NA	1	NA	NA
"115"	"Lauraceae"	"Trop"	"Aiouea montana"	NA	NA	NA	0,0327733696638998	NA	NA	NA	NA	NA	2	NA	NA
"116"	"Lauraceae"	"Trop"	"Aiouea sellowianum"	NA	NA	11,3278833622547	0,219057820832373	NA	NA	NA	NA	95	7	NA	NA
"117"	"Lauraceae"	"Trop"	"Cinnamomum microneurum"	NA	NA	NA	0,0194962895889182	NA	NA	NA	NA	NA	2	NA	NA
