"id"	"scientific.name"	"accepted.name"	"family"	"taxon.rank"	"taxon.status"	"search.str"	"threat.status.cnc"	"threat.status.mma"	"threat.status.mma2022"	"notes"	"original.search"
"66"	7694	"Erythroxylum cuneifolium (Mart.) O.E.Schulz"	NA	"Erythroxylaceae"	"species"	"accepted"	"Erythroxylum cuneifolium"	NA	NA	NA	""	"Erythroxylum cuneifolium"
"67"	29144	"Actinostemon concepcionis (Chodat & Hassl.) Hochr."	NA	"Euphorbiaceae"	"species"	"accepted"	"Actinostemon concepcionis"	NA	NA	NA	""	"Actinostemon concepcionis"
"68"	17456	"Alchornea glandulosa Poepp. & Endl."	NA	"Euphorbiaceae"	"species"	"accepted"	"Alchornea glandulosa"	NA	NA	NA	""	"Alchornea glandulosa"
"69"	17458	"Alchornea triplinervia (Spreng.) Müll.Arg."	NA	"Euphorbiaceae"	"species"	"accepted"	"Alchornea triplinervia"	NA	NA	NA	""	"Alchornea triplinervia"
"70"	17512	"Croton floribundus Spreng."	NA	"Euphorbiaceae"	"species"	"accepted"	"Croton floribundus"	NA	NA	NA	""	"Croton floribundus"
"71"	35862	"Croton macrobothrys Baill."	NA	"Euphorbiaceae"	"species"	"accepted"	"Croton macrobothrys"	NA	NA	NA	""	"Croton macrobothrys"
"72"	55510	"Gymnanthes klotzschiana Müll.Arg."	NA	"Euphorbiaceae"	"species"	"accepted"	"Gymnanthes klotzschiana"	NA	NA	NA	""	"Gymnanthes klotzschiana"
"73"	17617	"Micrandra Benth."	NA	"Euphorbiaceae"	"genus"	"accepted"	"Micrandra sp."	NA	NA	NA	""	"Micrandra sp."
"74"	17664	"Sapium glandulosum (L.) Morong"	NA	"Euphorbiaceae"	"species"	"accepted"	"Sapium glandulosum"	NA	NA	NA	""	"Sapium glandulosum"
"75"	17671	"Sebastiania brasiliensis Spreng."	NA	"Euphorbiaceae"	"species"	"accepted"	"Sebastiania brasiliensis"	NA	NA	NA	""	"Sebastiania brasiliensis"
"76"	17690	"Tetrorchidium rubrivenium Poepp."	NA	"Euphorbiaceae"	"species"	"accepted"	"Tetrorchidium rubrivenium"	"LC"	NA	NA	""	"Tetrorchidium rubrivenium"
"77"	17978	"Abarema langsdorffii (Benth.) Barneby & J.W.Grimes"	NA	"Fabaceae"	"species"	"accepted"	"Abarema langsdorffii"	NA	NA	NA	""	"Abarema langsdorffii"
"78"	101015	"Senegalia polyphylla (DC.) Britton & Rose"	NA	"Fabaceae"	"species"	"accepted"	"Senegalia polyphylla"	NA	NA	NA	"replaced synonym"	"Acacia polyphylla"
"79"	22782	"Anadenanthera Speg."	NA	"Fabaceae"	"genus"	"accepted"	"Anadenanthera sp."	NA	NA	NA	""	"Anadenanthera sp."
"80"	100880	"Cassia leptophylla Vogel"	NA	"Fabaceae"	"species"	"accepted"	"Cassia leptophylla"	NA	NA	NA	""	"Cassia leptophylla"
"81"	22896	"Copaifera langsdorffii Desf."	NA	"Fabaceae"	"species"	"accepted"	"Copaifera langsdorffii"	NA	NA	NA	""	"Copaifera langsdorffii"
"82"	82976	"Copaifera trapezifolia Hayne"	NA	"Fabaceae"	"species"	"accepted"	"Copaifera trapezifolia"	NA	NA	NA	""	"Copaifera trapezifolia"
"83"	29592	"Dalbergia brasiliensis Vogel"	NA	"Fabaceae"	"species"	"accepted"	"Dalbergia brasiliensis"	NA	NA	NA	""	"Dalbergia brasiliensis"
"84"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"not found"	"Dalbergia myriantha"
"85"	22961	"Enterolobium Mart."	NA	"Fabaceae"	"genus"	"accepted"	"Enterolobium sp."	NA	NA	NA	""	"Enterolobium sp."
"86"	29676	"Erythrina falcata Benth."	NA	"Fabaceae"	"species"	"accepted"	"Erythrina falcata"	NA	NA	NA	""	"Erythrina falcata"
"87"	78704	"Exostyles godoyensis Soares-Silva & Mansano"	NA	"Fabaceae"	"species"	"accepted"	"Exostyles godoyensis"	NA	NA	NA	""	"Exostyles godoyensis"
"88"	103653	"Holocalyx glaziovii Taub. ex Glaz."	NA	"Fabaceae"	"species"	NA	"Holocalyx glaziovii"	NA	NA	NA	"was misspelled|check undefined status"	"Holocalyx glaziovii"
