"Famyli"	"Fitogeography_origin"	"Genus and species"	"n_MF1"	"n_MF2"	"n_MF3"	"n_MF4"	"n_MF5"	"n_MF6"	"biomass_total_MF1 (Mg)"	"biomass_total_MF2(Mg)"	"biomass_total_MF3 (Mg)"	"biomass_total_MF4 (Mg)"	"biomass_total_MF5 (Mg)"	"biomass_total_MF6 (Mg)"
"83"	"Fabaceae"	"Trop"	"Exostyles_godoyensis"	2	19	NA	NA	NA	NA	0,0794321901943474	1,72968680075564	NA	NA	NA	NA
"185"	"Fabaceae"	"Trop"	"Holocalyx_glaziovii"	NA	2	NA	NA	NA	NA	NA	0,0799694644987182	NA	NA	NA	NA
"322"	"Fabaceae"	"Trop"	"Inga_edwalii"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0,00580440198107479	NA
"143"	"Fabaceae"	"Trop"	"Inga_marginata"	NA	10	NA	NA	NA	NA	NA	0,281837323977964	NA	NA	NA	NA
"186"	"Fabaceae"	"Trop"	"Inga_sessilis"	NA	2	NA	NA	NA	NA	NA	0,0230895057796954	NA	NA	NA	NA
"133"	"Fabaceae"	"Trop"	"Inga_striata"	NA	18	NA	NA	NA	NA	NA	1,71720584193297	NA	NA	NA	NA
"323"	"Fabaceae"	"Trop"	"Leucochloron_incuriale"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0,00879571084186502	NA
"57"	"Fabaceae"	"Trop"	"Lonchocarpus_campestris"	5	NA	NA	NA	NA	NA	0,983388332663495	NA	NA	NA	NA	NA
"58"	"Fabaceae"	"Trop"	"Lonchocarpus_cultratus"	5	NA	NA	NA	NA	NA	0,0987218966788474	NA	NA	NA	NA	NA
"33"	"Fabaceae"	"Trop"	"Machaerium_hatschbachii"	12	NA	NA	NA	NA	NA	1,39247743783024	NA	NA	NA	NA	NA
"99"	"Fabaceae"	"Trop"	"Machaerium_minutiflorum"	1	NA	NA	NA	NA	NA	0,32384669210971	NA	NA	NA	NA	NA
"54"	"Fabaceae"	"Trop"	"Machaerium_nyctitans"	6	18	NA	NA	NA	NA	0,32558123044868	10,2905657195034	NA	NA	NA	NA
"124"	"Fabaceae"	"Trop"	"Machaerium_paraguariense"	NA	26	NA	NA	NA	NA	NA	4,41365334453001	NA	NA	NA	NA
"84"	"Fabaceae"	"Trop"	"Machaerium_scleroxylon"	2	13	NA	NA	NA	NA	0,0583727765853441	9,83677558935889	NA	NA	NA	NA
"55"	"Fabaceae"	"Trop"	"Machaerium_sp."	6	NA	NA	NA	NA	NA	0,888278710100355	NA	NA	NA	NA	NA
"11"	"Fabaceae"	"Trop"	"Machaerium_stipitatum"	68	17	NA	NA	NA	NA	7,04668390884122	5,22084063538077	NA	NA	NA	NA
"18"	"Fabaceae"	"Trop"	"Machaerium_vestitum"	37	NA	NA	NA	NA	NA	2,05490917190655	NA	NA	NA	NA	NA
"313"	"Fabaceae"	"Trop"	"Machaerium_villosum"	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	0,153514741301534	NA
"255"	"Fabaceae"	"Trop"	"Mimosa_scabrela"	NA	NA	2	NA	NA	NA	NA	NA	2,37690549387209	NA	NA	NA
"336"	"Fabaceae"	"Trop"	"Mimosa_scabrella"	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	0,383292640541078
"326"	"Fabaceae"	"Trop"	"Ormosia_sp."	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0,0350028713297361	NA
"120"	"Fabaceae"	"Trop"	"Parapiptadenia_rigida"	NA	29	NA	NA	NA	NA	NA	30,0401307422488	NA	NA	NA	NA
"49"	"Fabaceae"	"Trop"	"Piptadenia_gonoacantha"	7	6	NA	NA	NA	NA	2,37336619372695	3,33809782375413	NA	NA	NA	NA
"108"	"Fabaceae"	"Trop"	"Pithecellobium_langsdorffii"	1	NA	NA	NA	NA	NA	0,0287746475976691	NA	NA	NA	NA	NA
"72"	"Fabaceae"	"Trop"	"Poecilanthe_parviflora"	3	NA	NA	NA	NA	NA	3,67214949280817	NA	NA	NA	NA	NA
"330"	"Fabaceae"	"Trop"	"Senna_macranthera"	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0,00699718563810674	NA
"89"	"Fabaceae"	"Trop"	"Senna_multijuga"	2	NA	NA	NA	NA	NA	0,058114254943691	NA	NA	NA	NA	NA
"4"	"Fabaceae"	"Trop"	"Swartzia_acutifolia"	118	NA	NA	NA	NA	NA	8,49910424223849	NA	NA	NA	NA	NA
"259"	"Lamiaceae"	"Trop"	"Aegiphila_integrifolia"	NA	NA	1	NA	NA	NA	NA	NA	0,145890352320127	NA	NA	NA
"37"	"Lamiaceae"	"Trop"	"Vitex_polygama"	10	NA	NA	NA	NA	NA	0,467580135893809	NA	NA	NA	NA	NA
"282"	"Lauraceae"	"Trop"	"Cinnamomum_glaziovii"	NA	NA	NA	1	NA	NA	NA	NA	NA	0,00744219044780967	NA	NA
"229"	"Lauraceae"	"Trop"	"Cinnamomum_sellowianum"	NA	NA	95	7	NA	NA	NA	NA	14,2221132771577	0,27502623769117	NA	NA
"94"	"Lauraceae"	"Trop"	"Cinnamomum_sp.1"	1	NA	NA	NA	NA	NA	0,00440585784139735	NA	NA	NA	NA	NA
"278"	"Lauraceae"	"Trop"	"Cinnamomum_triplinerve"	NA	NA	NA	2	NA	NA	NA	NA	NA	0,0411468374919223	NA	NA
"79"	"Lauraceae"	"Trop"	"Endlicheria_paniculata"	2	2	NA	NA	1	NA	0,0304704152053706	0,0146414239869181	NA	NA	0,0176265962984414	NA
"86"	"Lauraceae"	"Trop"	"Nectandra_angustifolia"	2	NA	NA	NA	NA	NA	0,0741488025811319	NA	NA	NA	NA	NA
"169"	"Lauraceae"	"Trop"	"Nectandra_lanceolata"	NA	5	NA	NA	NA	NA	NA	3,75937104479252	NA	NA	NA	NA
"149"	"Lauraceae"	"Trop"	"Nectandra_megapotamica"	NA	8	NA	NA	NA	NA	NA	0,965805453197748	NA	NA	NA	NA
"293"	"Lauraceae"	"Trop"	"Nectandra_nitidula"	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	2,09173025783101	NA
"208"	"Lauraceae"	"Trop"	"Nectandra_oppositifolia"	NA	1	NA	NA	1	NA	NA	0,12870623084735	NA	NA	0,00914696314349386	NA
"104"	"Lauraceae"	"Trop"	"Ocotea_bicolor"	1	6	9	3	23	NA	0,125021736022153	0,972052440557724	0,355756980588153	0,0358297417796667	2,87532664839736	NA
"26"	"Lauraceae"	"Trop"	"Ocotea_brachybotra"	18	NA	NA	NA	NA	NA	0,295555739125759	NA	NA	NA	NA	NA
"145"	"Lauraceae"	"Trop"	"Ocotea_corymbosa"	NA	9	NA	NA	21	NA	NA	1,19574680612739	NA	NA	1,78844020558034	NA
"146"	"Lauraceae"	"Trop"	"Ocotea_diospyrifolia"	NA	9	NA	NA	14	NA	NA	5,334273997805	NA	NA	1,80133864845712	NA
"244"	"Lauraceae"	"Trop"	"Ocotea_dispersa"	NA	NA	6	NA	11	NA	NA	NA	0,217116512367954	NA	0,318471986652113	NA
"3"	"Lauraceae"	"Trop"	"Ocotea_elegans"	118	2	NA	NA	NA	NA	18,7146730577652	0,679870246883665	NA	NA	NA	NA
"256"	"Lauraceae"	"Trop"	"Ocotea_glaziovii"	NA	NA	2	8	6	NA	NA	NA	0,0422608234044503	0,0592700724497372	0,40051695169843	NA
"128"	"Lauraceae"	"Trop"	"Ocotea_indecora"	NA	22	1	NA	NA	NA	NA	3,04737853525816	0,00685894667586081	NA	NA	NA
"10"	"Lauraceae"	"Trop"	"Ocotea_nutans"	69	NA	NA	NA	NA	NA	10,9928034817233	NA	NA	NA	NA	NA
"71"	"Lauraceae"	"Trop"	"Ocotea_odorifera"	3	NA	NA	NA	1	NA	0,0302628865003061	NA	NA	NA	0,00567719932563718	NA
"189"	"Lauraceae"	"Trop"	"Ocotea_prolifera"	NA	2	NA	NA	NA	NA	NA	0,0812205011250133	NA	NA	NA	NA
