Family;Species ;Phyto. Ori.;Aboveground Biomass (Mg.ha-1);;;;;;Species Abundance (ha-1);;;;;
;;;MF1;MF2;MF3;MF4;MF5;MF6;MF1;MF2;MF3;MF4;MF5;MF6
;Coutarea hexandra;Trop;0,059;;;;;;1;;;;;
;Faramea montevidensis;Trop;;0,374;;;;;;28;;;;
;Faramea sp.;Trop;;;;;0,859;;;;;;28;
;Ixora venulosa;Trop;;0,028;;;;;;2;;;;
;Palicourea sessilis;Trop;0,213;;0,005;;0,543;;14;;1;;65;
;Psychotria suterella;Trop;;0,116;;;;;;10;;;;
;Rudgea gardenoides;Trop;;;;;0,025;;;;;;1;
;Rudgea jasminoides;Trop;;1,256;;;0,273;;;54;;;23;
;Rudgea triflora;Trop;;;;0,268;;;;;;22;;
Rutaceae;;;;;;;;;;;;;;
;Helietta apiculata;Trop;;4,755;;;;;;10;;;;
;Pilocarpus pennatifolius;Trop;;0,847;;;;;;17;;;;
;Zanthoxylum caribaeum;Trop;;0,092;;;;;;4;;;;
;Zanthoxylum fagara;Trop;;0,855;;;;;;1;;;;
;Zanthoxylum monogynum;Trop;;1,314;;;;;;6;;;;
;Zanthoxylum rhoifolium;Trop;;;0,759;;0,049;;;;3;;5;
Sabiaceae;;;;;;;;;;;;;;
;Meliosma sp.;Trop;0,005;;;;;;1;;;;;
Salicaceae;;;;;;;;;;;;;;
;Casearia decandra;Trop;1,075;0,046;0,058;0,007;0,540;;23;3;2;1;19;
;Casearia gossypiosperma;Trop;;7,451;;;;;;16;;;;
;Casearia lasiophylla;Trop;0,060;;;;0,018;;1;;;;2;
;Casearia obliqua;Trop;0,552;1,022;;;1,584;;4;8;;;8;
;Casearia sylvestris;Trop;4,603;4,347;;;1,385;;44;29;;;42;
;Prockia crucis;Trop;0,033;0,234;;;;;3;5;;;;
;Xylosma ciliatifolia;Trop;0,020;;;;0,562;;2;;;;6;40
;Xylosma tweediana;Trop;;4,507;;;;;;9;;;;
Sapindaceae;;;;;;;;;;;;;;
;Allophylus edulis;Trop;0,793;1,874;;;0,233;1,476;85;20;;;8;
;Cupania oblongifolia;Trop;6,508;;;;;;103;;;;;
;Cupania tenuivalvis;Trop;;0,332;;;;;;8;;;;
;Cupania vernalis;Trop;0,757;0,039;;;;;10;1;;;;
;Diatenopteryx sorbifolia;Trop;;9,791;;;;;;7;;;;
;Matayba elaeagnoides;Trop;66,157;16,719;;;31,037;;163;30;;;394;
Sapotaceae;;;;;;;;;;;;;;
;Chrysophyllum gonocarpum;Trop;;0,270;;;;;;5;;;;
;Chrysophyllum marginatum;Trop;1,366;0,143;;;;;10;1;;;;
;Pouteria gardneri;Trop;0,181;;;;;;1;;;;;
;Pouteria gardneriana;Trop;;0,128;;;;;;1;;;;
Simaroubaceae;;;;;;;;;;;;;;
;Picrasma crenata;Temp;;;;;0,046;;;;;;1;
Solanaceae;;;;;;;;;;;;;;
;Cestrum intermedium;Trop;;0,031;;;;;;1;;;;
;Solanum sp.1;Trop;;;0,180;;;;;;1;;;
;Solanum argentum;Trop;;0,006;;;;;;1;;;;
;Solanum bullatum;Trop;;0,253;;;0,204;;;1;;;3;
;Solanum concinnum;Trop;;;;0,027;;;;;;1;;
;Solanum mauritianum;Trop;;;0,028;;;;;;5;;;
;Solanum pseudoquina;Trop;0,038;0,017;0,086;;;;4;1;4;;;
;Solanum rufescens;Trop;0,583;;;;;;16;;;;;
;Solanum sanctae-catharinae;Trop;;0,252;;;;;;12;;;;
;Solanum swartzianum;Trop;;0,092;0,013;2,080;;;;1;1;30;;8
Styracaceae;;;;;;;;;;;;;;
;Styrax camporum;Temp;;0,090;;;;;;1;;;;
;Styrax leprosus;Temp;;;0,112;;;0,114;;;6;;;2
;Styrax pohlii;Temp;;0,037;;;;;;3;;;;
Symplocaceae;;;;;;;;;;;;;;
;Symplocos celastrinea;Trop;;;0,009;;;0,019;;;1;;;20
;Symplocos estrellensis;Trop;0,113;;0,020;3,668;;;3;;2;108;;
;Symplocos falcata;Trop;;;1,906;2,107;0,076;0,398;;;67;67;3;
;Symplocos insignis;Trop;;0,008;;;7,360;;;1;;;21;
;Symplocos pubescens;Trop;0,006;;;;;;1;;;;;
;Symplocos revoluta;Trop;;;;;10,258;;;;;;23;
Thymelaeaceae;;;;;;;;;;;;;;
;Daphnopsis sellowiana;Trop;;;;;0,007;;;;;;1;
Urticaceae;;;;;;;;;;;;;;
;Cecropia glaziovii;Trop;;0,515;;;;;;2;;;;
;Cecropia pachystachya;Trop;;0,018;;;;;;1;;;;
Vochysiaceae;;;;;;;;;;;;;;
;Callisthene fasciculata;Trop;;;0,011;;;;;;1;;;
;Vochysia bifalcata;Trop;0,020;;;;;;1;;;;;
;Vochysia magnifica;Trop;;0,287;;;;;;3;;;;40
;Vochysia saldanhana;Trop;;;;;0,137;;;;;;5;
Winteraceae;;;;;;;;;;;;;;
;Drimys brasiliensis;Temp;;;6,832;27,255;0,581;0,504;;;214;420;1;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;I;;;;;;;;;;
